experimento,estrategia,carga,taxa,repeticao,tentativa,ordem,timestamp,throughput,requisicoes,lat_media,lat_p50,lat_p90,lat_p95,lat_p99,lat_max,leitura_p50,leitura_p95,leitura_p99,escrita_p50,escrita_p95,escrita_p99,taxa_erros,descartadas,taxa_acerto_cache,nginx_hits,respostas_304,api_requisicoes,api_ops_banco,sql_total,sql_select,api_cpu_media,api_cpu_max,api_mem_media_mib,api_mem_max_mib,pg_cpu_media,redis_cpu_media,redis_mem_media_mib,nginx_cpu_media,k6_cpu_media,k6_cpu_max,host_swap_mib,host_mem_livre_pct,sustentavel
latencia,none,leitura,450,3,1,27,2026-09-23T04:06:49.444Z,450.0046,27001,1.121,0.7358,1.813,2.276,3.2374,502.0992,0.7208,1.3497,2.6616,2.1914,3.1314,4.9501,0,0,,0,0,27001,31908,67206,59302,31.28,34.95,132.66,134.1,13.07,0.75,22,3.62,14.95,19.51,0,48,1
latencia,http,mista,450,3,1,28,2026-09-23T04:08:27.342Z,450.0019,27001,1.0551,0.9254,2.0234,2.3331,4.385,41.0252,0.1092,0.7794,1.2806,1.7026,2.7061,5.7287,0,0,0.8636,11575,959,15426,15544,71859,32109,32.73,41.9,132.11,133.9,10.05,0.75,20.95,3.37,14.33,18.9,0,48,1
latencia,http,escrita,450,3,1,29,2026-09-23T04:10:05.296Z,449.9795,27000,1.505,1.4223,1.8965,2.3588,5.9666,24.128,0.1123,0.9192,1.6821,1.4446,2.4724,6.1313,0,0,0.7766,2086,44,24914,24986,122328,51530,45.81,51.82,147.52,148.5,14.64,0.72,20.25,3.31,14.06,18.88,0,47,1
latencia,memory,escrita,450,3,1,30,2026-09-23T04:11:43.286Z,450.0034,27001,1.861,1.4172,1.9718,3.068,10.5995,500.4194,0.635,1.5601,7.6184,1.44,3.2517,11.0291,0,0,0.1277,0,0,27001,27223,126312,55511,48.82,62.23,150.86,152.5,15.4,0.7,20.06,3.26,14.48,28.08,0,48,1
latencia,none,mista,450,3,1,31,2026-09-23T04:13:48.625Z,450.0005,27001,1.3792,1.3499,1.9021,2.2211,5.1295,501.2566,0.634,1.3909,3.2546,1.5955,2.6272,5.9819,0,0,,0,0,27001,29695,97585,57835,41.54,48.81,130.72,132.5,14.75,0.73,20.06,3.41,14.2,18.6,0,48,1
latencia,redis,mista,450,3,1,32,2026-09-23T04:15:26.515Z,449.9984,27001,1.536,1.5127,2.1224,2.4881,5.3203,502.609,0.725,1.6901,3.4543,1.7467,2.8893,6.2201,0,0,0.394,0,0,27001,24387,86975,47225,41.62,51.69,138.16,139.6,13.68,2.66,39.3,3.44,15.01,41.23,0,47,1
latencia,none,escrita,450,3,1,33,2026-09-23T04:17:04.520Z,449.9943,27000,1.5465,1.4106,1.8943,2.4048,5.9103,24.7753,0.6328,1.4293,3.9042,1.4315,2.5119,6.036,0,0,,0,0,27000,27565,126993,56195,47.25,54.4,152.06,152.9,15.45,0.7,23.08,3.2,14.18,18.92,0,47,1
latencia,redis,leitura,450,3,1,34,2026-09-23T04:18:42.467Z,450.0069,27001,1.131,0.3837,2.0587,2.5433,3.4001,502.6538,0.3593,1.7943,2.5296,2.4516,3.5173,5.4309,0,0,0.664,0,0,27001,15446,34587,26683,27.35,34.01,130.33,131.3,8.97,2.73,53.22,3.63,15.13,19.26,0,48,1
latencia,memory,mista,450,3,1,35,2026-09-23T04:20:20.376Z,450.0009,27001,2.1169,1.3965,2.0481,2.6878,29.2293,502.0325,0.6067,1.5114,26.3303,1.6507,3.8297,31.9278,0,0,0.3924,0,0,27001,24415,87041,47294,39.77,49.28,166.53,183.3,13.84,0.72,23.43,3.38,14.98,39.41,0,48,1
latencia,memory,leitura,450,3,1,36,2026-09-23T04:21:58.336Z,450.0174,27001,1.8573,0.2847,2.0177,2.6408,7.7686,1002.5637,0.2671,1.5333,6.9534,2.4624,3.8035,9.6212,0,0,0.6642,0,0,27001,15449,34582,26684,25.6,38.52,184.09,213.7,9.26,0.82,22.57,3.86,15.87,19.74,0,48,1
